路堇年#1# #2020-06-08 08:29
灯火阑珊墨眉风#7#            不好说，但我会追#2020-06-08 08:32
无限W剑制#12#            不能 因为没有如果#2020-06-08 08:38
等动画#7#            13#2020-06-08 08:40
大元帅#7#            不能，但绝不至于混成现在这样。斗罗的成功是多方面的，当然周更是首功。其他比如人物美型，打斗优秀、群像出彩也是加分项。星辰变如果不停更会比现在效果好很多，但达不到斗罗。#2020-06-08 08:46
任侠平生愿#11#            斗罗的成功其他动漫还是挺难复制的，需要的因素有很多......#2020-06-08 09:13
永雪飘飞#11#            不会#2020-06-08 09:25
叽里咕噜松狮#11#            斗破可以#2020-06-08 09:33
莫莫酱#12#            星辰变制作好，特效好，但是里面的龙套都不怎么好看，或者说难看，斗罗以前的阿银，前段时间的天水，最近的胡列娜和比比东，在剧情水的时候还是能掀起一些讨论度的#2020-06-08 09:38
溜溜糖球#9#            不好说，因为没有如果#2020-06-08 09:51
酒醉为龙颜#6#            斗罗的龙套角色都漂亮的不要不要的，建模太***#2020-06-08 09:51
双子飞朔流光#9#            我觉得不能，ip的差距就不说了，动画制作公司也不是一个档次的（我指的是名气和底蕴），我刷抖音底下评论里提及最多的国漫制作公司就是玄机，什么国漫美女千千万，玄机科技占一半，苟富贵，玄机黄#2020-06-08 10:03
游憩#9#            星辰变最让我难受的一点就是反派都太丑了，丑就算了，还看不出有啥人格魅力#2020-06-08 10:04
天赐不受#7#            星辰变这本书太早了，套路也太老了，就算周更也不行#2020-06-08 10:08
苍生何辜#14#            我一直是这个看法，星辰变主创审美有问题，不仅打不到斗罗的高度，后续还会被更多网文改编爆#2020-06-08 10:09
冷萌#1#            反正它周更我一定会追就是了，动不动断更一年的，心太累。#2020-06-08 10:09
wakkkk#7#            大IP，不断更，动画质量过得去，老少咸宜的群众路线，腾讯大力营销，集合这五点就可以#2020-06-08 10:17
和蔼的一只鱼#7#            我先不说制作这么，我们来说一本小说要有看点，星辰变真是想不起什么看点了，如果硬要说看点话雷蒙给秦羽庆祝这个是我唯一能记住的，斗罗我比星辰变看的还久但记的唐昊救场，小舞献祭，比比东杀主角，其他都是小高潮#2020-06-08 10:22
wyg5105478#11#            铁塔依然在#2020-06-08 10:52
血逍遥#13#            考虑这个问题的前提是，非年番成绩达到促使腾讯推动周更年番才行，否则连周更都不现实更遑谈热度了，本末倒置了#2020-06-08 11:01
风与清欢#13#            不能只说ip也得看其他因素，比如剧情做的吸不吸引人，宣传营销，制作公司，还有动画制作技术方面也不能太差等等。至于年番方面我觉得也得是两方契合。制作组和出品方#2020-06-08 12:10
